Title,Channel Name,Channel Logo,Thumbnail URL,Video URL,Views,Time Uploaded
Python in 8 Minutes (in Hindi) 🐍,CodeWithHarry,https://yt3.ggpht.com/ytc/AIdro_krnyU9zev1u94JYs4opG8p1sYE3HQ9oButitIb7A=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/JdG1cVFyj5A/hqdefault_14300.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD6JxAqdfrSuMw5f94Si7pgcYAvng,https://www.youtube.com/watch?v=JdG1cVFyj5A&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,1.1M views,2 years ago
Python Tutorial in Hindi | Learn Python in Hindi | Python Full Course in Hindi | Python Tutorial,Great Learning,https://yt3.ggpht.com/ytc/AIdro_m30G90Yxx5jWiLtWvfDCozJnvYRD4XEY7zv7jZ6A=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi_webp/eTyI-M50Hu4/hqdefault.webp,https://www.youtube.com/watch?v=eTyI-M50Hu4&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,2.2M views,3 years ago
Python Tutorial - Python Full Course for Beginners in Tamil,Error Makes Clever Academy,https://yt3.ggpht.com/Vd-4igGVIeL872Xje2tGDZKnfj5wT9AUN1mLhVAL9cP-TNuDy8BtD0X8YdzzGX4K7TSRpPq6=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/m67-bOpOoPU/hqdefault.jpg,https://www.youtube.com/watch?v=m67-bOpOoPU&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,2.2M views,8 months ago
Python Tutorial for Absolute Beginners #1 - What Are Variables?,CS Dojo,https://yt3.ggpht.com/ytc/AIdro_mHrx1EUAmidqrqL2epGhd8UqnFtBpvTJqbcV-H=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/Z1Yd7upQsXY/hqdefault_933.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBqoQ6jhkQM2iOe2YeOBi00wP_IKA,https://www.youtube.com/watch?v=Z1Yd7upQsXY&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,8.8M views,6 years ago
#1 Python Tutorial for Beginners | Introduction to Python,Telusko,https://yt3.ggpht.com/o4MZVi2qdNgx0K7vpEl7DT2PefjROdisZTD7is6TMimF1_DTM49O1ld3iQzTpE5MCj86c-vzav8=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/hEgO047GxaQ/hqdefault_4133.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBlmgxif_3II3uULqj6ozLRKfbLew,https://www.youtube.com/watch?v=hEgO047GxaQ&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,4.9M views,5 years ago
Python Tutorial for Beginners (with mini-projects),freeCodeCamp.org,https://yt3.ggpht.com/ytc/AIdro_lBsjXx6eJ7L26I_dGpRjq8mUkuSmbw8D2_ksKu8w=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/qwAFL1597eM/hqdefault.jpg,https://www.youtube.com/watch?v=qwAFL1597eM&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,387K views,5 months ago
Python for Beginners – Full Course [Programming Tutorial],freeCodeCamp.org,https://yt3.ggpht.com/ytc/AIdro_lBsjXx6eJ7L26I_dGpRjq8mUkuSmbw8D2_ksKu8w=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/eWRfhZUzrAc/hqdefault_18066.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD5sKcR1_topXKlsHtt7_0Tt4mHIw,https://www.youtube.com/watch?v=eWRfhZUzrAc&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,2M views,1 year ago
PYTHON TUTORIAL FOR BEGINNERS IN 6 HOURS (తెలుగు లో),Sundeep Saradhi Kanthety,https://yt3.ggpht.com/ytc/AIdro_lp-wGzOYmQGQMzvPmeP4mFNLVgMJPfdcR_JZg8dQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/9hVzEKZQyMU/hqdefault_27866.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCNHfOK_j1BwqhBjt8w5EMzfZu8DQ,https://www.youtube.com/watch?v=9hVzEKZQyMU&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,3.9M views,3 years ago
What is Python? | Python Programming For Beginners | Python Tutorial | Edureka,edureka!,https://yt3.ggpht.com/OtB--dcR_oNUZUaUsuyk2ShT5nFYjEcj9Yxx50-Nner03vXKt4IWXtP--JrnSGQbwRSHYuVb38g=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/WvhQhj4n6b8/hqdefault_6000.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDu8fTpdOf8QDxMmz0MbCtuM32XTg,https://www.youtube.com/watch?v=WvhQhj4n6b8&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,847K views,4 years ago
Python Object Oriented Programming (OOP) - For Beginners,Tech With Tim,https://yt3.ggpht.com/ytc/AIdro_ntb70baqDzwAibFdBVBeG8OmYK61YJoykUJK4XGA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/JeznW_7DlB0/hqdefault_21866.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA_BJ9VZc3wjw0VLXXMEC_KEWIekw,https://www.youtube.com/watch?v=JeznW_7DlB0&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,3.1M views,3 years ago
How I would learn to code (If I could start over),Jason Goodison,https://yt3.ggpht.com/36ctqV30Up1TofXk7YVZWszgmKCo7srIz9Ofv5IYSseWXFynUlzQ2tgNcIKi_Fwepw2VnXdhFVI=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/9s29LKfEFjQ/hqdefault_66.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDOn-Sknyj2qAmOMFGvfGu1Q7xuDQ,https://www.youtube.com/watch?v=9s29LKfEFjQ&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,4.2M views,1 year ago
Python Basics | Python Tutorial For Beginners | Learn Python Programming from Scratch | Edureka,edureka!,https://yt3.ggpht.com/OtB--dcR_oNUZUaUsuyk2ShT5nFYjEcj9Yxx50-Nner03vXKt4IWXtP--JrnSGQbwRSHYuVb38g=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/woVJ4N5nl_s/hqdefault_2200.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBI6mfES-7m7Rsjf-bbWQVVU24x0Q,https://www.youtube.com/watch?v=woVJ4N5nl_s&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,1.2M views,Streamed 4 years ago
Python 101: Learn the 5 Must-Know Concepts,Tech With Tim,https://yt3.ggpht.com/ytc/AIdro_ntb70baqDzwAibFdBVBeG8OmYK61YJoykUJK4XGA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/mMv6OSuitWw/hqdefault_8233.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCFWeKDt3wB-vWH0blV5cd15uh3vA,https://www.youtube.com/watch?v=mMv6OSuitWw&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,912K views,9 months ago
HOW I Learned Python in 30 Days? BEST Python Course,Ishan Sharma,https://yt3.ggpht.com/omDV4RX5BjOw_R3J8L-qwETRq4qqy_uN5DTo58Trg1HW6TM2ejPGuVjtRjh2BrlGpeRLgaPAtA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/Ogild8PjK6c/hqdefault.jpg,https://www.youtube.com/watch?v=Ogild8PjK6c&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,708K views,2 years ago
Intermediate Python Programming Course,freeCodeCamp.org,https://yt3.ggpht.com/ytc/AIdro_lBsjXx6eJ7L26I_dGpRjq8mUkuSmbw8D2_ksKu8w=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/HGOBQPFzWKo/hqdefault_21866.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAWXxmxpqpoCjZDr1SmDvDIpOW1eA,https://www.youtube.com/watch?v=HGOBQPFzWKo&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,3.5M views,3 years ago
#3 Python Tutorial for Beginners | Getting Started with Python,Telusko,https://yt3.ggpht.com/o4MZVi2qdNgx0K7vpEl7DT2PefjROdisZTD7is6TMimF1_DTM49O1ld3iQzTpE5MCj86c-vzav8=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/DWgzHbglNIo/hqdefault_18266.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBubOlWwBurNvDHs4SaV5EWq9dGGg,https://www.youtube.com/watch?v=DWgzHbglNIo&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,3.8M views,5 years ago
Complete python roadmap | How to become an expert in python programming,codebasics,https://yt3.ggpht.com/DZidE7P_ESU8Y_dZ5_PrTAItOkSuayCfE2tYkKCnjtFYes7nA2sE-UF1fi3tZLjozlg0h1aK=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/27u8xHqLMZE/hqdefault_733.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBuVxX9O5lboqKJFnc3aN31A9XNVw,https://www.youtube.com/watch?v=27u8xHqLMZE&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,879K views,3 years ago
Python Tutorial for Beginners | Python Programming Language Tutorial | Python Training | Edureka,edureka!,https://yt3.ggpht.com/OtB--dcR_oNUZUaUsuyk2ShT5nFYjEcj9Yxx50-Nner03vXKt4IWXtP--JrnSGQbwRSHYuVb38g=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/N0lxfilGfak/hqdefault_4866.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCPP8anx7Y5xwXp57JDi7-BfPxJ_Q,https://www.youtube.com/watch?v=N0lxfilGfak&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,1.5M views,7 years ago
#67 Python Tutorial for Beginners | is Python Compiled or Interpreted Language?,Telusko,https://yt3.ggpht.com/o4MZVi2qdNgx0K7vpEl7DT2PefjROdisZTD7is6TMimF1_DTM49O1ld3iQzTpE5MCj86c-vzav8=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/0BhSWyDEDC4/hqdefault_35166.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCYWMa6imyu5CVvOLMuuTNn459nWg,https://www.youtube.com/watch?v=0BhSWyDEDC4&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,226K views,5 years ago
Mastering Python - Everything You Need To Know To Become a Python Master,Tech With Tim,https://yt3.ggpht.com/ytc/AIdro_ntb70baqDzwAibFdBVBeG8OmYK61YJoykUJK4XGA=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/p15xzjzR9j0/hqdefault_12933.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD9XxzQhmaTa1RpIOKCkuAu1JHJlA,https://www.youtube.com/watch?v=p15xzjzR9j0&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,1.3M views,3 years ago
Python Tutorial for Absolute Beginners #1 - What Are Variables?,CS Dojo,https://yt3.ggpht.com/ytc/AIdro_mHrx1EUAmidqrqL2epGhd8UqnFtBpvTJqbcV-H=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/Z1Yd7upQsXY/hqdefault_933.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBqoQ6jhkQM2iOe2YeOBi00wP_IKA,https://www.youtube.com/watch?v=Z1Yd7upQsXY&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,8.8M views,6 years ago
Python Tutorial For Beginners (With Notes) 🔥,ProgrammingWithHarry,https://yt3.ggpht.com/ytc/AIdro_li1GJNdz788_hefM_lsmTauukheYaF2XHxbwpu6g=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/EyEqWFvLDT8/hqdefault.jpg,https://www.youtube.com/watch?v=EyEqWFvLDT8&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,1M views,2 years ago
What Programming Language Should I Learn First?,CS Dojo,https://yt3.ggpht.com/ytc/AIdro_mHrx1EUAmidqrqL2epGhd8UqnFtBpvTJqbcV-H=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/poJfwre2PIs/hqdefault_13933.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA7heszDgl8dB3CKoEyv4Z-u1ltVQ,https://www.youtube.com/watch?v=poJfwre2PIs&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,2.1M views,6 years ago
Guido van Rossum: Python and the Future of Programming | Lex Fridman Podcast #341,Lex Fridman,https://yt3.ggpht.com/ytc/AIdro_mCT410b_KihvHJjbU5f59PoWsfrqbNg-Zr7dHexu4=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/-DVyjdw4t9I/hqdefault_12900.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLColOufqJAn3RszQz2hdxWIR_V7mA,https://www.youtube.com/watch?v=-DVyjdw4t9I&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,1.2M views,1 year ago
How I Would Learn Python FAST in 2023 (from zero),Internet Made Coder,https://yt3.ggpht.com/JCxw636VkW0aNDYa3CkTblvvmhEi1VTYdpMagq7Zj8trOizp2kINd74JpHR4FHckBU_vCIR7hQ=s68-c-k-c0x00ffffff-no-rj,https://i.ytimg.com/vi/rwWCyXYwPhA/hqdefault_26200.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDipiNdXj75zWC2kTWU3YiQz7lxSg,https://www.youtube.com/watch?v=rwWCyXYwPhA&pp=ygUbcHl0aG9uIHByb2dyYW1taW5nIGxhbmd1YWdl,413K views,1 year ago
